,出现时间,弹幕类型,字的大小,颜色,弹幕添加时间戳,unknown_5,unknown_6,unknown_7,unknown_8,弹幕内容
0,19.25600,1,25,16777215,1646865983,0,1158fbf,1004743710984107520,11,大哔兜子：我成替身了！
1,103.11900,1,25,16777215,1646851348,0,f4494645,1004620938488204288,11,给了，亏待你哇打咩打咩
2,32.91600,1,25,16777215,1646848349,0,4a7bfeb4,1004595782353058816,11,我发现我原来是听得懂日语的
3,89.73900,1,25,38979,1646842173,0,a2162b82,1004543971457948160,11,chance哈哈哈哈哈哈
4,81.02800,1,25,16777215,1646837206,0,2f962d4e,1004502307381109760,11,加害玉米
5,57.86000,1,25,16777215,1646815685,0,d7deaa7f,1004321775426972160,11,诶嘿
6,69.41900,1,25,16777215,1646814120,0,4a8de42e,1004308651474761216,11,欧～
7,58.13300,5,25,16646914,1646811895,0,61037022,1004289982191502336,11,每日卧槽（1/1）
8,51.69300,1,25,16777215,1646811534,0,799988d2,1004286959733973504,11,字正腔圆
9,50.77200,1,25,16777215,1646811438,0,a41e64e7,1004286151718242304,11,字正腔圆
10,37.63900,1,25,15138834,1646875102,0,c5ae604b,1004820201222599680,10,中式日语
11,64.63900,1,25,16777215,1646868785,0,6a58aacb,1004767208381112320,10,落地指导   洛基
12,103.14300,1,25,16777215,1646834363,0,9505982b,1004478458409067520,10,哒咩
13,46.21000,1,25,16777215,1646827780,0,72c7cac,1004423240128693760,10,遛哈流隋  哈哈
14,27.19500,1,25,16777215,1646824347,0,b2fde7fc,1004394438690136064,10,跑个der～
15,78.79700,1,25,16777215,1646823133,0,8810e937,1004384254358048256,10,中意 粤语啊
16,55.07200,1,25,16777215,1646822609,0,c4e214ba,1004379858509434880,10,每日WC
17,35.39800,1,25,16777215,1646821085,0,d8a9420d,1004367076938410496,10,我t…快笑不活了hhh
18,5.12400,1,25,16777215,1646816345,0,cdf546ac,1004327316966397440,10,笑岔气
19,63.10000,1,25,16777215,1646811456,0,c7c33940,1004286304499948544,10,每日卧槽已达成
20,13.01900,1,25,16777215,1646811091,0,abddb91d,1004283238732120576,10,是老婆的声音
21,62.67700,1,25,16777215,1646862019,0,359551cc,1004710456025291264,9,一股剑心味儿
22,74.48400,1,25,16777215,1646833112,0,fe48e00,1004467965468640768,9,钟意
23,36.03500,1,25,16777215,1646831518,0,31087763,1004454591451923456,9,三头六臂
24,0.72400,1,25,16777215,1646812005,0,30c2168b,1004290910961355264,9,空降1.45  老婆有新活儿了
25,38.57700,5,25,16646914,1646811860,0,61037022,1004289693312990208,9,这期中文含量有点大啊
26,76.56200,1,25,16777215,1646834314,0,9505982b,1004478044171169280,8,钟意
27,30.80500,1,25,16707842,1646830245,0,377ca0bd,1004443913140067840,8,中式日语
28,63.20600,1,25,16777215,1646816803,0,fe0d065d,1004331156549692928,8,本期中文含量过高
29,73.31900,1,25,16777215,1646873024,0,20472fa4,1004802774610988032,7,太狠了，都摔平了。
30,64.14000,1,25,16777215,1646831546,0,31087763,1004454827188571136,7,漏哈漏水
31,30.80500,5,25,16707842,1646830257,0,377ca0bd,1004444017544593920,7,中式日语
32,30.20500,1,25,16777215,1646834234,0,9505982b,1004477374441562624,6,一开口就是老大佐了
33,34.30000,1,25,16777215,1646821055,0,bbf4e0f0,1004366822545447936,5,协和语滴思密达
34,24.12700,1,25,16777215,1646879448,0,eacf8f,1004856659689949696,1,大逼斗
35,7.66000,1,25,16777215,1646879226,0,aa354d9a,1004854798106838528,1,吉米no吉米 金棒no金棒
36,32.70800,1,25,16777215,1646878282,0,9f1058ff,1004846880519130112,1,蛮boy
37,26.10000,1,25,16777215,1646878035,0,fbe9e30c,1004844802736451072,1,乐
